Loading Unit,Ladeeinheit,MD,,,
LoadingUnit.Number,LE.Nummer,"BIC, ILU - vier Buchstaben sieben arabische Ziffern",,unterschiedliche ,was passiert
LoadingUnit.Owner,LE.Eigentümerschlüssel,drei Buchstaben,,Handhabe,wenn BIC ILU
LoadingUnit.Typecode,LE.Produktgruppenschlüssel,ein Buchstabe Produktgruppenschlüssel/LE-Typ,,redundant,nicht
LoadingUnit.Serial,LE.Registriernummer,sechs arabische Ziffern,,aber,vorhanden?
LoadingUnit.Digit,LE.Prüfziffer,eine arabische Ziffer,,Kompromiss,"""ohne"""
LoadingUnit.Type,LE.Typ,"Container, Wechselbrücke, Sattelauflieger",,,
LoadingUnit.WeightBruttoMax,LE.GewichtBruttoMax,kg,,,
LoadingUnit.WeightNettoMax,LE.GewichtNettoMax,kg,,,
LoadingUnit.WeightTara,LE.GewichtTara,kg,,,
LoadingUnit.Condition,LE.Zustand,"i.O., schadhaft,…",,,
LoadingUnit.Reefer,LE.Kühlung,ja / nein,,,
LoadingUnit.Operator,LE.Operateur,Name,,,
_Container,Container,MD,,,
Container.Type,Container.Typ,"High Cube, Tank, Open Top, Bulk, Flat Rack",,,
Container.Size,Container.Größe,Fuß,,,
_Swap Body,Wechselbrücke,MD,,,
SwapBody.Type,WB.Typ,"Klasse A, Klasse C (C715, C745, C765, C782), Open Top",,,
SwapBody.Size,WB.Größe,Fuß,,,
SwapBody.Stackable,WB.Stapelbar,ja / nein,,,
_Trailer,Sattelauflieger,MD,,,
Trailer.Type,Sattelauflieger.Typ,"XL, …",,,
Trailer.Size,Sattelauflieger.Größe,m,,,
Trailer.Craneable,Sattelauflieger.Kranbar,ja / nein,,,
Operator,Operateur,MD,,,
Operator.Name,Operateur.Name,String,,,
Operator.LegalForm,Operateur.Rechtsform,String,,,
Operator.Adress($MD),Operateur.Anschrift($MD),siehe Details bei @Anschrift,,,
Operator.VAT-ID,Operateur.USt-ID,String maxlength 12,,,
Operator.TIN,Operateur.Steuernummer,String maxlength 13,,,
Operator.Insurance,Operateur.Versicherung,String,,,
Person,Person,MD,,,
Person.Name,Person.Name,String,,,
Person.FirstName,Person.Vorname,String,,,
Person.Address($MD),Person.Anschrift($MD),siehe Details bei @Anschrift,,,
Person.Cellphone,Person.Mobiltelefon,String,,,
Person.DateOfBirth,Person.Geburtsdatum,yyyy-mm-dd,,,
Person.Birthplace,Person.Geburtstort,String,,,
Person.Nationality,Person.Nationalität,String,,,
_Driver,Fahrer,MD,,,
Driver.LicenseValidity,Fahrer.FührerscheinGültigkeit,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)",,,
Driver.LicenseNumber,Fahrer.FührerscheinNummer,String,,,
Driver.ID,Fahrer.Fahrerkartenummer,String,,,
Driver.ADR,Fahrer.ADR,"Ja/nein: Gültigkeit (DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z))",,,
Driver.Waste,Fahrer.Abfall,"Ja/nein: Gültigkeit (DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z))",,,
Driver.ModuleEntry95,Fahrer.Moduleintrag95,"Ja/nein: Gültigkeit (DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z))",,,
Driver.HealthCheck,Fahrer.Gesundheitscheck,"Ja/nein: Gültigkeit (DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z))",,,
_TrainDriver,Lokführer,MD,,,
TrainDriver.RID,Lokführer.RID,String,,,
_Skipper,Schiffsführer,MD,,,
Skipper.ADNR,Schiffsführer.ADNR,"Ja/nein: Gültigkeit (DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z))",,,
Address,Anschrift,MD/PD,,,
Address.Street,Anschrift.Straße,String,,,
Address.ZIP,Anschrift.PLZ,String,,,
Address.City,Anschrift.Ort,String,,,
Address.CountryName,Anschrift.LandName,String,,,
Address.CountryCode,Anschrift.LandCode,2 Zeichen (UN/LOCODE),,,
Truck,Zugmaschine,MD (Lkw und/oder Zugmaschine),,leichte Unschärfe in der Formulierung!,
Truck.NumberPlate,Zugmaschine.Kennzeichen,z.B. DU CO 1234; Formatierung inkl. Leerzeichen!,,,
Truck.Country,Zugmaschine.Land,z.B. relevant für die Formatierung des Kennzeichens (DUCO1234 && DE = DU CO 1234),,,
Truck.MOT,Zugmaschine.TÜV,Gültigkeit,,,
Truck.EnvironmentBadge,Zugmaschine.Umweltplakette,"rot, gelb, grün",,,
Truck.Type,Zugmaschine.Typ,String,,,
Truck.EUAuthorization,Zugmaschine.EUZulassung,ja / nein,,,
Truck.SP,Zugmaschine.SP,Sicherheitsprüfung,,,
Truck.SuitabilityDangerousGoods,Zugmaschine.Gefahrguteignung,ja / nein,,,
Truck.SuitabilityWaste,Zugmaschine.Abfalleignung,ja / nein,,,
Truck.WeightTara,Zugmaschine.GewichtTara,kg,,,
Chassis,Fahrgestell,MD,,,
Chassis.NumberPlate,Fahrgestell.Kennzeichen,z.B. DU CO 1234; Formatierung inkl. Leerzeichen!,,,
Chassis.MOT,Fahrgestell.TÜV,Gültigkeit,,,
Chassis.Type,Fahrgestell.Typ,Multichassis etc.,,,
Chassis.Axles,Fahrgestell.Achsen,#,,,
Chassis.Size,Fahrgestell.Größe,m,,,
Chassis.Height,Fahrgestell.Höhe,m,,,
Chassis.EUAuthorization,Fahrgestell.EUZulassung,ja / nein,,,
Chassis.SP,Fahrgestell.SP,Sicherheitsprüfung,,,
Chassis.SuitabilityDangerousGoods,Fahrgestell.Gefahrguteignung,ja / nein,,,
Chassis.SuitabilityWaste,Fahrgestell.Abfalleignung,ja / nein,,,
Chassis.SuitabilityReefer,Fahrgestell.Reefereignung,ja / nein,,,
Chassis.Weight.Tara,Fahrgestell.GewichtTara,kg,,,
Barge,Binnenschiff,MD (Lastschiff),,,
Barge.Name,Binnenschiff.Name,String,,,
Barge.MMSI,Binnenschiff.MMSI,9 Ziffern,,,
Barge.ENI,Binnenschiff.ENI,„Europanummer“,,,
Barge.Operator($MD),Binnenschiff.Operateur($MD),siehe Daten zu @Operator (Key: Ust.-ID),,,
Barge.Length,Binnenschiff.Länge,m,,,
Barge.Width,Binnenschiff.Breite,m,,,
Barge.Draught,Binnenschiff.Tiefgang,m,,,
Barge.Bays,Binnenschiff.Ladeplätze,#,,,
Barge.Rows,Binnenschiff.Reihen,#,,,
Barge.Tiers,Binnenschiff.Lagen,#,,,
Barge.SuitabilityDangerousGoods,Binnenschiff.Gefahrguteignung,ja / nein,,,
Barge.CapacityTEU,Binnenschiff.KapazitätTEU,TEU,,,
Barge.CapacityTons,Binnenschiff.KapazitätTons,t,,,
Vessel,Seeschiff,MD (Frachtschiff),,,
Vessel.Name,Seeschiff.Name,String,,,
Vessel.MMSI,Seeschiff.MMSI,9 Ziffern,,,
Vessel.IMO,Seeschiff.IMO,IMO gefolgt von 7 Ziffern (IMO XXXXXXX),,,
Vessel.Operator($MD),Seeschiff.Operateur($MD),siehe Daten zu @Operator (Key: Ust.-ID),,,
DangerousGoods,Gefahrgut,MD,,,
DangerousGoods.UNNumber,Gefahrgut.UNNummer,vier Ziffern,,,
DangerousGoods.Material,Gefahrgut.Stoffbezeichnung,String,,,
DangerousGoods.DangerNote,Gefahrgut.Gefahrzettel,String,,,
DangerousGoods.PackagingGroup,Gefahrgut.Verpackungsgruppe,String,,,
DangerousGoods.Packages,Gefahrgut.Versandstücke,#,,,
DangerousGoods.TotalQuantity,Gefahrgut.Gesamtmenge,,,,
DangerousGoods.TunnelRestrictionCode,Gefahrgut.Tunnelbeschränkungscode,"B, B1000C, B/D, B/E, C, C50000D, C/D, C/E, D, D/E, E, -",,,
DangerousGoods.MandatoryRouting,Gefahrgut.Fahrwegbestimmung,,,,
DangerousGoods.LimitedQuantity,Gefahrgut.BegrenzteMenge,ja / nein,,,
DangerousGoods.MarinePollutants,Gefahrgut.Umweltgefährdend,ja / nein,,,
DangerousGoods.Exception,Gefahrgut.Ausnahmen,,,,
Waste,Abfall,MD,,,
Waste.Position,Abfall.Position,,,,
Waste.KeyID,Abfall.Schlüsselnummer,,,,
Waste.WasteRegulationNumber,Abfall.AVVnummer,,,,
Waste.ReceiptNumber,Abfall.Belegnummer,,,,
Waste.WeightNetto,Abfall.GewichtNetto,kg pro Position,,,
Customs,Zolldaten,MD,,,
Customs.Status,Zolldaten.Status,Verzollt (j/n),,zu Statusmeldungen?,
Customs.CommunityGoods,Zolldaten.Gemeinschaftsware,,,,
Customs.NonCommunityGoods,Zolldaten.Nichtgemeinschaftsware,,,,
Customs.CustomProcess,Zolldaten.Zollverfahren,"T1, EX, GW etc. ",,,
Customs.CustomDocumentNumber,Zolldaten.Zollpapiernummer,MRN etc.,,,
Customs.Seal,Zolldaten.Siegel,,,ist das bei LE-Auftrag Siegel dabei?,
LU.Order,LE.Auftrag,PD,,,
LU.Order.Reference,LE.Auftrag.Referenz,,,,
LU.Order.LU($MD),LE.Auftrag.LE($MD),siehe Daten zu @Ladeeinheit (Key: LU.Number),,,
LU.Order.WeightBrutto,LE.Auftrag.GewichtBrutto,kg,,,
LU.Order.WeightNetto,LE.Auftrag.GewichtNetto,kg,,,
LU.Order.WeightTara,LE.Auftrag.GewichtTara,kg,,,
LU.Order.DangerousGoodsIndication,LE.Auftrag.Gefahrgutindikation,ja / nein --> Aktion bei ja,,Aktion: Klasse mitgeben,
LU.Order.WasteIndication,LE.Auftrag.Abfallindikation,ja / nein --> Aktion bei ja,,Aktion: Klasse mitgeben,
LU.Order.SetTemperature,LE.Auftrag.Solltemperatur,°C,,für Reefer,
LU.Order.Operator($MD),LE.Auftrag.Operateur($MD),siehe Daten zu @Operator (Key: Ust.-ID),,,
LU.Order.Client($MD),LE.Auftrag.Auftraggeber($MD),siehe Daten zu @Operator (Key: Ust.-ID),,,
LU.Order.Direction,LE.Auftrag.Richtung,anliefern / abholen,,,
